Potential	Current	Potential	Current	Potential	Current	Potential	Current	Potential	Current	Potential	Current	Potential	Current	Potential	Current
V	mA/g	V	mA/g	V	mA/g	V	mA/g	V	mA/g	V	mA/g	V	mA/g	V	mA/g
1 mV/s	1 mV/s	2 mV/s	2 mV/s	5 mV/s	5 mV/s	10 mV/s	10 mV/s	20 mV/s	20 mV/s	50 mV/s	50 mV/s	100 mV/s	100 mV/s	Peak Potentials	Peak Current
-0.3799	-109.6812	-0.3801	-217.1822	-0.3800	-533.9170	-0.3800	-1046.3167	-0.3805	-2046.3730	-0.3800	-4937.9597	-0.3800	-9551.3771	-0.7046	703.2655
-0.3805	-109.2806	-0.3806	-218.5657	-0.3805	-532.4928	-0.3806	-1044.9545	-0.3815	-2053.7689	-0.3806	-4946.5240	-0.3806	-9569.3989	-0.7046	1358.5489
-0.3815	-111.2728	-0.3816	-221.5272	-0.3815	-537.7824	-0.3816	-1051.7095	-0.3825	-2070.5861	-0.3816	-4965.5560	-0.3816	-9588.9218	-0.7033	3223.3320
-0.3826	-111.2422	-0.3826	-221.8209	-0.3826	-541.0798	-0.3826	-1059.1498	-0.3836	-2082.5723	-0.3826	-4988.4402	-0.3826	-9631.1480	-0.7015	6140.0015
-0.3836	-112.8760	-0.3835	-224.8448	-0.3836	-546.1297	-0.3836	-1067.9759	-0.3845	-2085.8139	-0.3836	-5016.0086	-0.3836	-9673.5750	-0.6852	11595.5389
-0.3846	-112.0224	-0.3846	-223.1852	-0.3846	-544.7733	-0.3846	-1067.6748	-0.3855	-2103.3495	-0.3846	-5023.2935	-0.3846	-9685.4973	-0.6568	25635.3123
-0.3856	-113.6644	-0.3855	-226.3387	-0.3856	-550.6465	-0.3856	-1077.2693	-0.3865	-2101.5355	-0.3856	-5051.2583	-0.3856	-9738.6293	-0.6187	44583.1161
-0.3866	-112.5184	-0.3866	-224.6949	-0.3866	-548.1797	-0.3866	-1073.7826	-0.3875	-2103.6376	-0.3866	-5055.5580	-0.3866	-9743.2437	NaN	NaN
-0.3875	-113.2134	-0.3876	-225.6242	-0.3876	-549.8862	-0.3876	-1076.8106	-0.3885	-2121.9680	-0.3876	-5069.8465	-0.3876	-9766.2532	NaN	NaN
-0.3885	-115.2521	-0.3886	-229.3308	-0.3886	-557.6850	-0.3886	-1089.5268	-0.3895	-2125.6333	-0.3886	-5100.5779	-0.3886	-9814.1430	NaN	NaN
-0.3896	-114.3775	-0.3896	-227.6319	-0.3896	-554.6039	-0.3896	-1086.6701	-0.3905	-2128.1752	-0.3896	-5110.2556	-0.3896	-9828.5393	NaN	NaN
-0.3905	-114.6653	-0.3906	-228.1560	-0.3905	-555.6104	-0.3906	-1089.3314	-0.3915	-2145.4736	-0.3906	-5116.7207	-0.3906	-9854.0115	NaN	NaN
-0.3916	-116.8389	-0.3915	-232.5107	-0.3916	-563.9210	-0.3916	-1100.8789	-0.3926	-2151.6142	-0.3916	-5150.5531	-0.3916	-9896.2689	NaN	NaN
-0.3926	-116.1626	-0.3925	-231.4328	-0.3926	-563.2303	-0.3926	-1102.5711	-0.3935	-2155.1442	-0.3926	-5166.5653	-0.3926	-9925.2821	NaN	NaN
-0.3935	-116.5200	-0.3936	-231.9558	-0.3936	-564.8690	-0.3936	-1105.3071	-0.3945	-2170.5868	-0.3936	-5177.1269	-0.3936	-9945.1670	NaN	NaN
-0.3946	-118.4349	-0.3946	-234.8754	-0.3946	-571.0362	-0.3946	-1115.0508	-0.3955	-2180.8541	-0.3946	-5204.9146	-0.3946	-9990.3987	NaN	NaN
-0.3956	-117.9650	-0.3955	-235.1854	-0.3955	-572.2088	-0.3956	-1119.2439	-0.3965	-2195.3695	-0.3956	-5222.8889	-0.3956	-10032.5403	NaN	NaN
-0.3965	-119.4711	-0.3966	-237.8558	-0.3966	-578.0471	-0.3966	-1127.5999	-0.3975	-2199.7545	-0.3966	-5253.2341	-0.3966	-10064.0316	NaN	NaN
-0.3975	-119.9742	-0.3975	-238.4312	-0.3976	-578.8525	-0.3976	-1131.0998	-0.3985	-2216.8873	-0.3976	-5274.8318	-0.3976	-10103.5609	NaN	NaN
-0.3986	-119.8966	-0.3986	-238.8891	-0.3986	-581.6426	-0.3986	-1137.1979	-0.3996	-2217.0421	-0.3986	-5296.9276	-0.3986	-10141.2627	NaN	NaN
-0.3996	-119.8215	-0.3996	-238.4755	-0.3996	-580.6196	-0.3996	-1136.7428	-0.4006	-2222.0782	-0.3996	-5306.9877	-0.3996	-10157.6922	NaN	NaN
-0.4006	-120.4935	-0.4006	-240.1377	-0.4006	-583.6395	-0.4006	-1141.1069	-0.4016	-2246.7396	-0.4006	-5322.2076	-0.4006	-10198.6731	NaN	NaN
-0.4016	-122.6554	-0.4016	-243.1936	-0.4016	-590.8727	-0.4016	-1154.4312	-0.4026	-2244.1582	-0.4016	-5356.8292	-0.4016	-10242.8846	NaN	NaN
-0.4026	-121.3908	-0.4026	-241.1477	-0.4026	-588.3804	-0.4026	-1151.2896	-0.4035	-2251.1976	-0.4026	-5365.1055	-0.4026	-10264.1722	NaN	NaN
-0.4036	-122.1743	-0.4035	-243.1712	-0.4036	-591.1113	-0.4036	-1156.3639	-0.4045	-2271.7926	-0.4036	-5381.2003	-0.4036	-10292.0208	NaN	NaN
-0.4046	-124.7661	-0.4046	-247.0712	-0.4046	-599.7838	-0.4046	-1169.1094	-0.4055	-2276.1688	-0.4046	-5418.9162	-0.4046	-10346.5096	NaN	NaN
-0.4056	-123.6692	-0.4055	-245.8756	-0.4056	-598.6244	-0.4056	-1169.7328	-0.4065	-2282.7322	-0.4056	-5431.4688	-0.4056	-10387.1054	NaN	NaN
-0.4065	-124.0443	-0.4065	-246.5545	-0.4065	-599.7686	-0.4066	-1171.5667	-0.4075	-2303.9352	-0.4066	-5446.2074	-0.4066	-10398.8618	NaN	NaN
-0.4076	-126.5198	-0.4076	-250.6947	-0.4076	-608.2340	-0.4076	-1186.5782	-0.4085	-2311.8444	-0.4076	-5484.2362	-0.4076	-10463.8975	NaN	NaN
-0.4086	-125.5329	-0.4085	-249.8399	-0.4085	-608.5143	-0.4086	-1188.0077	-0.4095	-2317.8300	-0.4085	-5501.8713	-0.4086	-10492.2430	NaN	NaN
-0.4095	-126.5129	-0.4095	-250.9744	-0.4095	-610.9926	-0.4095	-1192.4171	-0.4105	-2333.6458	-0.4096	-5523.2275	-0.4095	-10526.6741	NaN	NaN
